Date,Weight (kg),Body Fat (%),Calories,Carbs (g),Fat (g),Protein (g),H2O (mL),Steps,Sleep total (h),Deep Sleep (h),Sleep Quality,Gym ,Bachata,Training (h),Training (Kg),Observations
4/12/2025,"69,90","16,7",2.910,284,117,187,1500,14942,8:13,1:47,OK :|,Workout,2,0:33,7.186,"extra tacos dinner, "
5/12/2025,"69,80","16,4",2.285,181,106,155,1500,11394,7:10,1:24,OK :|,None,0,--,--,two sleep hours not monitored
6/12/2025,"70,30","16,6",2.504,185,135,145,1500,15377,7:16,2:12,Good :),None,0,--,--,
7/12/2025,"70,10","16,5",2.313,264,78,146,1500,14639,7:18,2:30,Good :),None,2,--,--,Sauna y practice night
8/12/2025,"69,60","16,6",2.012,188,63,180,1500,20147,7:14,1:21,Good :),None,3,--,--,small wake up 6 AM
9/12/2025,"69,50","17,5",2.459,203,82,222,1500,21229,7:35,2:16,Good :),Workout,3,0:42,7.932,"small wake up 6 AM, dinner out"
10/12/2025,"69,50","16,1",2.166,224,62,182,1500,13034,5:59,1:15,OK :|,None,2,--,--,iwatch not monitored whole night 
11/12/2025,"69,50","16,5",1.973,201,63,159,1500,9530,7:19,2:34,OK :|,None,2,--,--,difficulty to fall sleep
12/12/2025,"69,00","16,6",2.359,167,101,203,1500,15381,5:55,0:49,OK :|,Workout,0,0:38,6.163,small alcoholic drink
13/12/2025,"69,40","16,2",2.068,172,67,180,1500,15451,9:07,2:44,Good :),None,0,--,--,
14/12/2025,"69,70",16,1.671,125,49,167,1500,14888,7:54,1:11,OK :|,Workout,0,1:00,8.407,"dinner out, two white wines"
15/12/2025,"70,10","15,6",2.656,236,102,211,1500,12615,7:52,2:05,Good :),None,3,--,--,"recharge dinner after bachata, so hungry"
16/12/2025,"69,90","16,6",2.197,233,74,142,1500,10936,7:48,3:00,Good :),None,3,--,--,
17/12/2025,"69,30","16,9",2.611,226,115,170,1500,22311,7:09,1:28,Good :),Workout,2,0:30,6.975,
18/12/2025,"69,50","17,2",2.664,229,106,193,1500,11532,6:21,2:14,OK :|,None,2,--,--,nachos dinner out
19/12/2025,"69,80","16,6",1.908,156,74,151,1500,22842,6:28,1:47,OK :|,Workout,0,0:49,7.194,fragmented sleep
20/12/2025,"70,10","15,2",1.636,100,78,126,1500,16730,7:59,1:58,OK :|,None,0,--,--,"10-3-2-1 rule, concert Hugo/stress"
21/12/2025,"70,20","15,7",2.460,229,78,209,1500,22027,5:56,2:01,OK :|,Workout,0,0:52,10.605, sad
22/12/2025,"69,90","16,6",2.493,226,91,186,1500,17524,7:39,1:44,Good :),None,0,--,--,earlier to bed
23/12/2025,"70,20","16,7",2.376,227,87,166,1500,18607,--,--,Good :),None,0,--,--,4 polvorones
24/12/2025,"70,00","17,4",--,--,--,--,--,13055,--,--,Bad : (,None,0,--,--,fragmented sleep + 4 polvorones
25/12/2025,"69,60","17,5",1.822,169,58,151,1500,19724,8:08,1:29,Bad : (,Workout,0,0:43,6.107,deaload
26/12/2025,"70,40","16,1",2.579,279,88,171,1500,28079,7:46,1:45,Bad : (,Workout,0,0:24,5.010,"bad dream, 1:51 h awake, sad"
27/12/2025,"69,60","16,6",2.252,269,66,148,1500,20840,--,--,Bad : (,None,0,--,--,and 2 polvorones
28/12/2025,"69,90","15,9",2.424,220,76,216,1500,27459,9:08,2:02,Good :),Workout,0,0:44,8.007,better sleep
29/12/2025,"69,90","16,9",2.463,194,103,170,1500,29641,6:52,1:13,Good :),Workout,0,0:42,8.866,"3 polvorones, no sleep interruptions"
30/12/2025,"69,80","15,9",--,--,--,--,--,23893,6:56,2:01,Good :),None,0,--,--,"better sleep, no sleep interruptions"
31/12/2025,"70,10","15,2",--,--,--,--,--,18402,8:22,1:40,Good :),None,2,--,--,social night
1/01/2026,"70,70","15,8",--,--,--,--,--,19752,4:06,0:58,Good :),None,0,--,--,
2/01/2026,"70,60","15,9",2.628,244,77,230,1500,19935,8:59,2:07,Good :),Workout,0,0:33,9.901,fin de la fase stress navideño
3/01/2026,"70,20","16,4",2.380,234,76,175,1500,23951,7:21,1:52,OK :|,None,0,--,--,
4/01/2026,"70,10","16,6",2.592,227,91,216,1500,16813,--,--,Good :),Workout,0,0:40,11.290,more time workouts gain weight option
5/01/2026,"70,20","16,5",2.568,283,86,169,1000,20231,7:07,1:27,Good :),None,0,--,--,meditation 9'
6/01/2026,"70,20","16,7",2.361,213,96,159,1500,21102,8:17,2:43,Good :),Workout,0,0:36,8.290,meditation 11'
7/01/2026,"69,70","16,8",1.735,127,58,168,1500,18312,8:35,1:11,Good :),None,0,--,--,meditation 11'
8/01/2026,"69,80","16,8",2.585,261,78,183,1500,21643,7:47,2:57,Good :),Workout,0,0:49,7.748,meditation from here on
9/01/2026,"69,90","16,3",2.983,292,93,240,1500,26771,8:05,1:10,OK :|,None,2,--,--,Party myDance. Apapika Bowl
10/01/2026,"70,50","15,9",2.455,222,109,153,1500,18766,6:09,1:31,OK :|,Workout,0,0:35,10.515,"extra bread, butter and mermelade"
11/01/2026,"69,80","15,7",2.220,171,73,199,1500,13429,8:38,2:35,OK :|,None,1,--,--,Practice Night
12/01/2026,"69,50","15,8",2.699,182,132,188,1500,24156,7:36,0:51,Bad : (,Workout,0,0:28,8.208,"nightmares, sad, Na 2.7 g"
13/01/2026,"70,20","15,3",2.425,223,77,195,1500,16734,7:48,2:57,OK :|,None,1,--,--,no fragmented sleep tonight + 600 mg Na
14/01/2026,"70,10","15,9",2.737,291,89,194,1500,19519,6:47,1:51,OK :|,Workout,0,0:45,7.517,
15/01/2026,"69,60","15,8",2.375,219,69,209,1500,19733,--,--,OK :|,None,1,--,--,
16/01/2026,"69,30","16,1",2.655,271,86,197,1500,15561,7:46,2:04,OK :|,None,3,--,--,"a lot of calories, I ate white rice + tofu"
17/01/2026,"70,30","15,8",2.024,185,68,170,1500,16945,7:41,2:08,OK :|,Workout,0,0:49,12.110,HIT session today (METIS)
18/01/2026,"70,10","15,7",1.747,90,72,182,1500,13402,9:06,1:39,OK :|,None,2,--,--,dinner out tacos con beef
19/01/2026,"70,60","15,2",2.531,312,79,147,1500,16794,7:04,2:18,OK :|,Workout,1,0:36,8.383,dinner out tofu + HIT (METIS)
20/01/2026,"70,60",16,2.443,288,83,137,1500,20580,7:25,2:29,OK :|,None,2,--,--,turron antes de dormir
21/01/2026,"69,30","15,9",2.276,234,65,172,1500,23917,7:01,1:30,Bad : (,Workout,1,0:45,7.783,HIT (METIS)
22/01/2026,"70,00","16,5",2.564,268,100,148,1500,18257,6:52,1:59,OK :|,None,2,--,--,
23/01/2026,"69,70","15,8",1.997,155,70,171,1500,18904,8:06,1:59,OK :|,None,3,--,--,tofu + 50 g rice
24/01/2026,"71,00","14,9",2.196,195,101,126,1500,21864,7:46,2:07,OK :|,Workout,0,0:43,12.445,HIT (METIS)
25/01/2026,"69,90","15,5",1.952,166,74,141,1500,17873,6:30,0:45,OK :|,None,1,--,--,Practice Night
26/01/2026,"70,20","16,2",2.305,256,73,151,1500,16886,6:33,2:01,OK :|,Workout,0,0:42,5.009,deload + HIT (METIS)
27/01/2026,"70,00","16,9",1.471,111,63,123,1500,19532,7:06,2:21,OK :|,None,2,--,--,"dinner out, TOFU"
28/01/2026,"70,70",16,2.026,225,67,129,1500,20561,5:45,2:32,OK :|,Workout,1,0:28,5.881,"lunch out, TOFU"
29/01/2026,"70,60","15,6",2.247,261,69,150,1500,15551,--,--,OK :|,None,1,--,--,
30/01/2026,"69,90","16,4",2.850,196,113,260,1250,16741,8:15,2:38,OK :|,None,3,--,--,extra cookies
31/01/2026,"70,10","17,1",2.400,201,91,189,1500,13118,6:59,1:37,OK :|,Workout,0,0:28,9.230,HIT (METIS) + 1.30 min siesta
1/02/2026,"69,90","16,5",2.512,209,96,195,1500,7086,7:41,2:08,OK :|,None,1,,,"dinner very late, social dancing"
2/02/2026,"70,50","16,3",2.515,263,82,179,1500,21370,7:27,2:07,OK :|,Workout,0,0:38,6.795,sleep in siesta 1:35 and 0:27 deep + TOFU dinner
3/02/2026,"70,60","15,5",2.388,197,97,183,1500,10147,9:15,2:51,OK :|,None,2,--,--,TOFU dinner
4/02/2026,"71,40","16,3",2.334,191,83,214,850,23960,5:41,1:27,Good :),Workout,1,0:35,7.836,
5/02/2026,"70,70","15,7",2.307,156,111,171,850,12575,6:23,2:06,Good :),None,1,--,--,salad for dinner
6/02/2026,"70,70","16,2",2.367,277,80,136,1500,18816,6:52,2:02,Good :),None,3,--,--,night out
7/02/2026,"70,30","15,4",1.961,79,104,181,1500,19374,5:07,1:44,OK :|,None,0,--,--,plus 2:06 hours siesta
8/02/2026,"70,40","15,4",1.797,128,80,152,1500,12692,6:22,1:40,Good :),Workout,1,0:33,12.098,Practice Night
9/02/2026,"70,40","14,7",2.829,229,114,222,1500,6308,6:46,1:30,Good :),None,0,--,--,refilling
10/02/2026,"70,40","15,7",2.660,203,119,189,1500,11804,6:40,1:59,Good :),Workout,3,0:35,6.380,
11/02/2026,"69,70","16,4",2.528,218,100,193,1500,8788,6:25,1:33,Good :),None,0,--,--,vanille dessert
